symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NASDX,2020-03-23 00:00:00+00:00,16.07,16.07,16.07,16.07,0,15.8325450603,15.8325450603,15.8325450603,15.8325450603,0,0.0,1.0
NASDX,2020-03-24 00:00:00+00:00,17.33,17.33,17.33,17.33,0,17.0739269381,17.0739269381,17.0739269381,17.0739269381,0,0.0,1.0
NASDX,2020-03-25 00:00:00+00:00,17.14,17.14,17.14,17.14,0,16.8867344327,16.8867344327,16.8867344327,16.8867344327,0,0.0,1.0
NASDX,2020-03-26 00:00:00+00:00,18.12,18.12,18.12,18.12,0,17.852253671,17.852253671,17.852253671,17.852253671,0,0.0,1.0
NASDX,2020-03-27 00:00:00+00:00,17.41,17.41,17.41,17.41,0,17.1527448351,17.1527448351,17.1527448351,17.1527448351,0,0.0,1.0
NASDX,2020-03-30 00:00:00+00:00,18.1,18.1,18.1,18.1,0,17.8325491968,17.8325491968,17.8325491968,17.8325491968,0,0.0,1.0
NASDX,2020-03-31 00:00:00+00:00,17.9,17.9,17.9,17.9,0,17.662499584,17.662499584,17.662499584,17.662499584,0,0.0274,1.0
NASDX,2020-04-01 00:00:00+00:00,17.15,17.15,17.15,17.15,0,16.9224507187,16.9224507187,16.9224507187,16.9224507187,0,0.0,1.0
NASDX,2020-04-02 00:00:00+00:00,17.5,17.5,17.5,17.5,0,17.2678068558,17.2678068558,17.2678068558,17.2678068558,0,0.0,1.0
NASDX,2020-04-03 00:00:00+00:00,17.25,17.25,17.25,17.25,0,17.0211239008,17.0211239008,17.0211239008,17.0211239008,0,0.0,1.0
NASDX,2020-04-06 00:00:00+00:00,18.52,18.52,18.52,18.52,0,18.2742733126,18.2742733126,18.2742733126,18.2742733126,0,0.0,1.0
NASDX,2020-04-07 00:00:00+00:00,18.44,18.44,18.44,18.44,0,18.195334767,18.195334767,18.195334767,18.195334767,0,0.0,1.0
